epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,micro_f1,macro_f1,epoch_time_s,lr
72,0.334010,0.356740,0.319780,0.392888,,,,0.163961,0.065696,50.2,0.000100
73,0.332126,0.361292,0.319826,0.391154,,,,0.176090,0.073288,50.9,0.000100
74,0.333614,0.354573,0.318613,0.395490,,,,0.184566,0.072733,51.5,0.000100
75,0.331937,0.355873,0.317679,0.381613,,,,0.260619,0.084391,50.9,0.000100
76,0.331376,0.351539,0.317294,0.392021,,,,0.255474,0.090162,51.3,0.000100
77,0.331533,0.356307,0.317609,0.381613,,,,0.271307,0.088426,51.6,0.000100
78,0.332178,0.356307,0.317708,0.392021,,,,0.229135,0.083004,50.3,0.000100
79,0.331056,0.357174,0.317961,0.384215,,,,0.248356,0.088163,50.4,0.000100
80,0.330856,0.359124,0.317196,0.387684,,,,0.266187,0.092239,50.3,0.000100
81,0.331429,0.361292,0.315717,0.386817,,,,0.261372,0.091172,50.1,0.000100
82,0.331303,0.357391,0.316724,0.386817,,,,0.266187,0.092062,50.0,0.000100
83,0.330426,0.357391,0.315551,0.384215,,,,0.253480,0.090189,50.0,0.000100
84,0.329680,0.354356,0.315267,0.391154,,,,0.274964,0.094966,49.9,0.000100
85,0.329901,0.358908,0.315952,0.380746,,,,0.288703,0.102161,50.2,0.000100
86,0.329075,0.356740,0.317004,0.392888,,,,0.259205,0.096284,50.0,0.000100
87,0.327318,0.362375,0.316363,0.385950,,,,0.289916,0.105684,50.3,0.000100
88,0.328345,0.362809,0.313708,0.386817,,,,0.255507,0.088569,50.1,0.000100
89,0.327119,0.360425,0.316805,0.380746,,,,0.292887,0.105881,50.0,0.000100
90,0.328573,0.356957,0.314684,0.381613,,,,0.294944,0.100367,50.3,0.000100
91,0.327986,0.360425,0.314543,0.374675,,,,0.287690,0.104506,50.6,0.000100
92,0.327741,0.355007,0.313518,0.394623,,,,0.251479,0.101035,50.5,0.000100
93,0.326353,0.357607,0.313802,0.377277,,,,0.325866,0.112476,50.0,0.000100
94,0.327519,0.354790,0.312316,0.385082,,,,0.298674,0.109010,50.1,0.000100
95,0.325352,0.365843,0.312722,0.384215,,,,0.267054,0.108942,50.3,0.000100
96,0.326565,0.361725,0.311202,0.379011,,,,0.285313,0.093735,50.4,0.000100
97,0.325509,0.362159,0.312234,0.394623,,,,0.256259,0.094565,50.4,0.000100
98,0.324782,0.356740,0.311347,0.379879,,,,0.314714,0.111626,50.1,0.000100
99,0.325408,0.357607,0.310629,0.383348,,,,0.263196,0.097564,50.2,0.000100
100,0.324733,0.364976,0.310265,0.391154,,,,0.296765,0.112530,50.0,0.000100
101,0.325183,0.360208,0.312223,0.378144,,,,0.302358,0.111488,50.0,0.000100
102,0.324749,0.361075,0.312077,0.392021,,,,0.293866,0.105131,50.0,0.000100
103,0.323345,0.361508,0.309129,0.390286,,,,0.289753,0.108798,50.1,0.000100
104,0.323360,0.359558,0.310184,0.392021,,,,0.289979,0.113033,50.2,0.000100
105,0.322585,0.360425,0.308464,0.396357,,,,0.267450,0.107401,49.9,0.000100
106,0.321927,0.363893,0.308952,0.396357,,,,0.303887,0.118651,50.2,0.000100
107,0.322279,0.356524,0.308868,0.402428,,,,0.271186,0.120578,49.9,0.000100
108,0.322909,0.358691,0.307869,0.397225,,,,0.298571,0.106594,49.8,0.000100
109,0.322965,0.363242,0.307341,0.395490,,,,0.301834,0.126748,50.1,0.000100
110,0.322006,0.367577,0.309927,0.379011,,,,0.309278,0.118136,50.2,0.000100
111,0.322499,0.358691,0.309163,0.383348,,,,0.322625,0.127440,50.0,0.000100
112,0.322365,0.358041,0.306927,0.396357,,,,0.322981,0.130735,50.0,0.000100
113,0.322061,0.363459,0.308846,0.386817,,,,0.318463,0.120129,50.4,0.000100
114,0.320936,0.362159,0.305885,0.391154,,,,0.299503,0.116093,50.2,0.000100
115,0.320461,0.360642,0.306289,0.388552,,,,0.313019,0.127891,50.0,0.000100
116,0.321484,0.362809,0.307918,0.391154,,,,0.310585,0.125853,50.2,0.000100
117,0.320153,0.366060,0.306904,0.396357,,,,0.307153,0.131240,49.9,0.000100
118,0.321337,0.366277,0.305368,0.387684,,,,0.323953,0.125741,50.1,0.000100
119,0.320193,0.368661,0.305059,0.389419,,,,0.319061,0.118087,49.9,0.000100
120,0.318565,0.362159,0.305109,0.382480,,,,0.340741,0.135356,50.2,0.000100
121,0.318392,0.361292,0.304181,0.390286,,,,0.322491,0.134577,49.9,0.000100
122,0.317722,0.367143,0.305906,0.388552,,,,0.309091,0.128657,50.0,0.000100
123,0.317250,0.367577,0.302531,0.390286,,,,0.308017,0.131275,49.9,0.000100
124,0.318794,0.365193,0.302590,0.384215,,,,0.357756,0.137899,50.1,0.000100
125,0.317793,0.366927,0.303290,0.392888,,,,0.325936,0.138680,49.9,0.000100
126,0.317098,0.363893,0.302419,0.398959,,,,0.283407,0.127529,50.0,0.000100
127,0.316714,0.368227,0.302072,0.398959,,,,0.315194,0.144482,50.0,0.000100
128,0.317793,0.368877,0.301394,0.392021,,,,0.326870,0.137657,49.8,0.000100
129,0.317001,0.367794,0.301783,0.395490,,,,0.331721,0.148132,50.0,0.000100
130,0.315114,0.369744,0.302894,0.391154,,,,0.346414,0.157455,49.7,0.000100
131,0.316340,0.365626,0.302383,0.392888,,,,0.334247,0.149251,50.3,0.000100
132,0.315349,0.369094,0.300410,0.407632,,,,0.290536,0.138210,50.2,0.000100
133,0.315276,0.370394,0.301151,0.398092,,,,0.328671,0.137459,50.4,0.000100
134,0.314950,0.376463,0.299194,0.388552,,,,0.328956,0.135505,49.8,0.000100
135,0.314817,0.370178,0.301906,0.395490,,,,0.321503,0.145596,49.8,0.000100
136,0.313831,0.372779,0.299734,0.385082,,,,0.373868,0.159288,50.0,0.000100
137,0.312676,0.370178,0.298737,0.393755,,,,0.350543,0.152500,50.1,0.000100
138,0.312940,0.368010,0.300444,0.389419,,,,0.356383,0.152670,50.0,0.000100
139,0.313715,0.372562,0.298808,0.392888,,,,0.346285,0.157263,49.7,0.000100
140,0.312208,0.372562,0.297782,0.394623,,,,0.369594,0.156738,49.8,0.000100
141,0.310992,0.371045,0.297045,0.400694,,,,0.320057,0.151473,49.6,0.000100
142,0.312039,0.373862,0.298118,0.393755,,,,0.345946,0.158374,49.7,0.000100
143,0.311896,0.372128,0.297924,0.396357,,,,0.331714,0.153428,49.9,0.000100
144,0.312823,0.375596,0.296156,0.398092,,,,0.351093,0.157559,49.7,0.000100
145,0.309432,0.373212,0.296469,0.396357,,,,0.358108,0.165236,49.9,0.000100
146,0.313338,0.375163,0.296721,0.404163,,,,0.352941,0.162305,49.8,0.000100
147,0.312617,0.372779,0.297023,0.398092,,,,0.345254,0.159287,49.8,0.000100
148,0.310202,0.378630,0.294492,0.396357,,,,0.336592,0.157055,49.7,0.000100
149,0.309865,0.372995,0.293781,0.395490,,,,0.347469,0.160829,49.9,0.000100
150,0.310035,0.375379,0.295605,0.402428,,,,0.359249,0.171596,49.9,0.000100
151,0.310217,0.377763,0.293674,0.397225,,,,0.361446,0.170690,50.0,0.000100
152,0.309306,0.377547,0.295910,0.398092,,,,0.331700,0.155017,49.9,0.000100
153,0.308637,0.381014,0.295291,0.400694,,,,0.373757,0.171104,49.9,0.000100
154,0.307589,0.378847,0.293846,0.401561,,,,0.353021,0.160481,50.0,0.000100
155,0.306746,0.381231,0.294935,0.407632,,,,0.362667,0.176518,50.0,0.000100
156,0.307749,0.384482,0.291458,0.395490,,,,0.377457,0.172753,50.0,0.000100
157,0.307610,0.383182,0.294067,0.398092,,,,0.368737,0.164994,50.0,0.000100
158,0.305701,0.382748,0.291526,0.408500,,,,0.336634,0.165579,50.1,0.000100
